rollno,name,year,semester,matrices and calculus,engineering chemistry,programming for problem solving,basic electrical engineering,computer aided engineering graphics,elements of computer science & engineering,engineering chemistry laboratory,programming for problem solving laboratory,basic electrical engineering laboratory,semester_gpa,calculated_cgpa,ordinary differential equations and vector calculus,applied physics,engineering workshop,english for skill enhancement,electronic devices and circuits,python programming laboratory,applied physics laboratory,english language and communication skills laboratory,it workshop,environmental science,digital electronics,data structures,computer oriented statistical methods,computer organization and architecture,object oriented programming through java,data structures lab,object oriented programming through java lab,data visualization- r programming/ power bi,gender sensitization lab,discrete mathematics,business economics & financial analysis,operating systems,database management systems,software engineering,operating systems lab,database management systems lab,real-time research project/ societal related project,node js/ react js/ django,constitution of india,design and analysis of algorithms,computer networks,devops,professional elective-i,professional elective -ii,computer networks lab,devops lab,advanced english communication skills lab,ui design- flutter,intellectual property rights,machine learning,formal languages and automata theory,artificial intelligence,professional elective – iii,open elective-i,machine learning lab,artificial intelligence laboratory,professional elective-iii lab,industrial oriented mini project/ internship/ skill development course (big data-spark),cryptography and network security,compiler design,professional elective -iv,professional elective -v,open elective - ii,cryptography and network security lab,compiler design lab,project stage - i,organizational behavior,professional elective – vi,open elective – iii,project stage – ii including seminar,status
HT1005,Pooja,3,1,,,,,,,,,,9.55,8.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,93.0,81.0,85.0,90.0,88.0,82.0,93.0,81.0,80.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1006,Rahul,3,1,,,,,,,,,,9.75,8.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,91.0,90.0,88.0,91.0,90.0,94.0,83.0,89.0,86.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1007,Neha,3,1,,,,,,,,,,9.3,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,83.0,88.0,86.0,81.0,94.0,91.0,89.0,83.0,97.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1008,Arjun,3,1,,,,,,,,,,7.8,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,73.0,78.0,67.0,75.0,66.0,74.0,80.0,64.0,70.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1009,Divya,3,1,,,,,,,,,,9.6,9.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,83.0,92.0,96.0,87.0,92.0,91.0,84.0,88.0,87.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1010,Suresh,3,1,,,,,,,,,,9.4,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,86.0,84.0,87.0,83.0,90.0,92.0,91.0,92.0,86.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1011,Priya,3,1,,,,,,,,,,6.9,8.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,69.0,71.0,62.0,57.0,66.0,59.0,68.0,57.0,71.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1012,Manoj,3,1,,,,,,,,,,8.7,8.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,76.0,77.0,87.0,80.0,84.0,78.0,92.0,83.0,76.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1013,Kavya,3,1,,,,,,,,,,9.15,8.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,88.0,89.0,92.0,88.0,89.0,86.0,88.0,83.0,91.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1014,Nikhil,3,1,,,,,,,,,,8.05,8.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,77.0,80.0,72.0,68.0,78.0,71.0,76.0,83.0,73.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1015,Meena,3,1,,,,,,,,,,7.35,8.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,66.0,68.0,63.0,77.0,61.0,71.0,57.0,62.0,63.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1016,Varun,3,1,,,,,,,,,,7.55,8.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,73.0,69.0,74.0,78.0,75.0,66.0,74.0,69.0,69.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1017,Shreya,3,1,,,,,,,,,,8.8,8.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,83.0,74.0,88.0,89.0,80.0,86.0,79.0,84.0,93.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1018,Amit,3,1,,,,,,,,,,9.65,7.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,84.0,100.0,99.0,93.0,96.0,100.0,92.0,98.0,100.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1019,Ritu,3,1,,,,,,,,,,8.25,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,79.0,84.0,78.0,74.0,80.0,83.0,72.0,72.0,84.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1000,Aarav,3,2,,,,,,,,,,7.9,8.47,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,75.0,64.0,64.0,71.0,73.0,78.0,86.0,70.0,,,,,,,,,,,,,Present
HT1001,Ananya,3,2,,,,,,,,,,8.1,8.34,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,80.0,71.0,74.0,74.0,72.0,65.0,75.0,76.0,,,,,,,,,,,,,Present
HT1002,Rohan,3,2,,,,,,,,,,9.65,9.04,,,,,,,,,,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,97.0,82.0,84.0,92.0,97.0,100.0,88.0,92.0,,,,,,,,,,,,,Present
HT1003,Sneha,3,2,,,,,,,,,,9.45,8.65,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,83.0,90.0,81.0,94.0,87.0,90.0,79.0,85.0,,,,,,,,,,,,,Present
